City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
247,Terrace,CA,54.5163,-128.6035,41.0,93,75,9.22,light rain,2021-01-17 23:04:12
248,Kirkwall,GB,58.9848,-2.9587,41.0,87,40,18.41,scattered clouds,2021-01-17 23:04:12
249,Gwadar,PK,25.1216,62.3254,66.83,78,0,5.44,clear sky,2021-01-17 23:02:43
250,Iranshahr,IR,27.2025,60.6848,54.79,41,0,2.37,clear sky,2021-01-17 23:04:12
251,Lawton,US,34.6087,-98.3903,55.4,22,1,8.05,clear sky,2021-01-17 23:04:13
252,Gobabis,NA,-22.45,18.9667,72.82,34,80,9.66,broken clouds,2021-01-17 23:04:13
253,Ardesen,TR,41.1911,40.9875,44.6,87,90,14.97,moderate rain,2021-01-17 23:02:06
254,Yabrud,SY,33.9674,36.6574,44.6,87,40,13.8,scattered clouds,2021-01-17 23:04:13
255,Nicoya,CR,10.1483,-85.452,87.8,48,20,11.5,few clouds,2021-01-17 23:04:13
256,Hanna,CA,51.6334,-111.9018,35.6,87,94,8.05,overcast clouds,2021-01-17 23:04:13
257,Faya,SA,18.3851,42.4509,55.4,87,0,6.91,clear sky,2021-01-17 23:04:14
258,Rawson,AR,-43.3002,-65.1023,67.33,52,23,11.07,few clouds,2021-01-17 23:04:14
259,Lompoc,US,34.6391,-120.4579,80.01,22,0,12.66,clear sky,2021-01-17 23:04:14
